app device,environment device,distance between devices in centimeter,series of measurements,rssi in dBm
Huawei P8,Bose QC 35,30,1,32
Huawei P8,Bose QC 35,30,1,31
Huawei P8,Bose QC 35,30,1,33
Huawei P8,Bose QC 35,30,1,37
Huawei P8,Bose QC 35,30,1,35
Huawei P8,Bose QC 35,30,1,36
Huawei P8,Bose QC 35,120,1,48
Huawei P8,Bose QC 35,120,1,50
Huawei P8,Bose QC 35,120,1,49
Huawei P8,Bose QC 35,120,1,48
Huawei P8,Bose QC 35,120,1,49
Huawei P8,Bose QC 35,120,1,48
Huawei P8,Bose QC 35,150,1,47
Huawei P8,Bose QC 35,150,1,45
Huawei P8,Bose QC 35,150,1,64
Huawei P8,Bose QC 35,150,1,46
Huawei P8,Bose QC 35,150,1,46
Huawei P8,Bose QC 35,150,1,47
Huawei P8,Bose QC 35,150,1,49
Huawei P8,Bose QC 35,190,1,50
Huawei P8,Bose QC 35,190,1,51
Huawei P8,Bose QC 35,190,1,52
Huawei P8,Bose QC 35,190,1,52
Huawei P8,Bose QC 35,230,1,65
Huawei P8,Bose QC 35,230,1,56
Huawei P8,Bose QC 35,230,1,65
Huawei P8,Bose QC 35,230,1,64
Huawei P8,Bose QC 35,230,1,64
Huawei P8,Bose QC 35,230,1,62
Huawei P8,Bose QC 35,270,1,66
Huawei P8,Bose QC 35,270,1,64
Huawei P8,Bose QC 35,270,1,63
Huawei P8,Bose QC 35,270,1,63
Huawei P8,Bose QC 35,270,1,55
Huawei P8,Bose QC 35,270,1,58
Huawei P8,Bose QC 35,120,2,43
Huawei P8,Bose QC 35,120,2,43
Huawei P8,Bose QC 35,120,2,44
Huawei P8,Bose QC 35,120,2,44
Huawei P8,Bose QC 35,150,2,46
Huawei P8,Bose QC 35,150,2,47
Huawei P8,Bose QC 35,150,2,46
Huawei P8,Bose QC 35,150,2,46
Huawei P8,Bose QC 35,150,2,47
Huawei P8,Bose QC 35,150,2,47
Huawei P8,Bose QC 35,190,2,47
Huawei P8,Bose QC 35,190,2,49
Huawei P8,Bose QC 35,190,2,48
Huawei P8,Bose QC 35,190,2,49
Huawei P8,Bose QC 35,190,2,49
Huawei P8,Bose QC 35,230,2,51
Huawei P8,Bose QC 35,230,2,51
Huawei P8,Bose QC 35,230,2,50
Huawei P8,Bose QC 35,230,2,48
Huawei P8,Bose QC 35,230,2,51
Huawei P8,Bose QC 35,270,2,64
Huawei P8,Bose QC 35,270,2,66
Huawei P8,Bose QC 35,270,2,64
Huawei P8,Bose QC 35,270,2,68
Huawei P8,Bose QC 35,270,2,64
Huawei P8,Bose QC 35,270,2,64
Huawei P8,Bose QC 35,310,3,74
Huawei P8,Bose QC 35,310,3,62
Huawei P8,Bose QC 35,310,3,63
Huawei P8,Bose QC 35,310,3,63
Huawei P8,Bose QC 35,310,3,63
Huawei P8,Bose QC 35,310,3,63
Huawei P8,Bose QC 35,30,4,57
Huawei P8,Bose QC 35,30,4,49
Huawei P8,Bose QC 35,30,4,60
Huawei P8,Bose QC 35,30,4,53
Huawei P8,Bose QC 35,30,4,60
Huawei P8,Bose QC 35,30,4,58
